Income,Age,PIA
10.0,62,0.5
10.0,63,0.55
10.0,64,0.6
10.0,65,0.65
10.0,66,0.7
10.0,67,0.75
10.0,68,0.81
10.0,69,0.87
10.0,70,0.93
15.0,62,0.72
15.0,63,0.79
15.0,64,0.86
15.0,65,0.94
15.0,66,1.01
15.0,67,1.08
15.0,68,1.17
15.0,69,1.25
15.0,70,1.34
20.0,62,0.81
20.0,63,0.89
20.0,64,0.97
20.0,65,1.05
20.0,66,1.13
20.0,67,1.21
20.0,68,1.31
20.0,69,1.41
20.0,70,1.51
25.0,62,0.9
25.0,63,0.99
25.0,64,1.08
25.0,65,1.17
25.0,66,1.26
25.0,67,1.35
25.0,68,1.46
25.0,69,1.56
25.0,70,1.67
30.0,62,0.99
30.0,63,1.09
30.0,64,1.18
30.0,65,1.28
30.0,66,1.38
30.0,67,1.48
30.0,68,1.6
30.0,69,1.72
30.0,70,1.84
35.0,62,1.08
35.0,63,1.18
35.0,64,1.29
35.0,65,1.4
35.0,66,1.51
35.0,67,1.61
35.0,68,1.74
35.0,69,1.87
35.0,70,2.0
40.0,62,1.16
40.0,63,1.28
40.0,64,1.4
40.0,65,1.51
40.0,66,1.63
40.0,67,1.75
40.0,68,1.89
40.0,69,2.03
40.0,70,2.17
45.0,62,1.25
45.0,63,1.38
45.0,64,1.5
45.0,65,1.63
45.0,66,1.76
45.0,67,1.88
45.0,68,2.03
45.0,69,2.18
45.0,70,2.33
50.0,62,1.34
50.0,63,1.48
50.0,64,1.61
50.0,65,1.75
50.0,66,1.88
50.0,67,2.01
50.0,68,2.18
50.0,69,2.34
50.0,70,2.5
55.0,62,1.43
55.0,63,1.57
55.0,64,1.72
55.0,65,1.86
55.0,66,2.0
55.0,67,2.15
55.0,68,2.32
55.0,69,2.49
55.0,70,2.66
60.0,62,1.52
60.0,63,1.67
60.0,64,1.82
60.0,65,1.98
60.0,66,2.13
60.0,67,2.28
60.0,68,2.46
60.0,69,2.65
60.0,70,2.83
65.0,62,1.61
65.0,63,1.77
65.0,64,1.93
65.0,65,2.09
65.0,66,2.25
65.0,67,2.41
65.0,68,2.61
65.0,69,2.8
65.0,70,2.99
70.0,62,1.7
70.0,63,1.87
70.0,64,2.04
70.0,65,2.21
70.0,66,2.38
70.0,67,2.55
70.0,68,2.75
70.0,69,2.96
70.0,70,3.16
75.0,62,1.79
75.0,63,1.97
75.0,64,2.14
75.0,65,2.32
75.0,66,2.5
75.0,67,2.68
75.0,68,2.9
75.0,69,3.11
75.0,70,3.32
80.0,62,1.88
80.0,63,2.06
80.0,64,2.25
80.0,65,2.44
80.0,66,2.63
80.0,67,2.81
80.0,68,3.04
80.0,69,3.26
80.0,70,3.49
85.0,62,1.96
85.0,63,2.16
85.0,64,2.36
85.0,65,2.55
85.0,66,2.75
85.0,67,2.95
85.0,68,3.18
85.0,69,3.42
85.0,70,3.65
90.0,62,2.01
90.0,63,2.21
90.0,64,2.41
90.0,65,2.61
90.0,66,2.81
90.0,67,3.01
90.0,68,3.25
90.0,69,3.49
90.0,70,3.73
95.0,62,2.05
95.0,63,2.25
95.0,64,2.46
95.0,65,2.66
95.0,66,2.87
95.0,67,3.07
95.0,68,3.32
95.0,69,3.56
95.0,70,3.81
100.0,62,2.09
100.0,63,2.3
100.0,64,2.51
100.0,65,2.72
100.0,66,2.93
100.0,67,3.13
100.0,68,3.39
100.0,69,3.64
100.0,70,3.89
105.0,62,2.13
105.0,63,2.34
105.0,64,2.56
105.0,65,2.77
105.0,66,2.98
105.0,67,3.2
105.0,68,3.45
105.0,69,3.71
105.0,70,3.96
110.0,62,2.17
110.0,63,2.39
110.0,64,2.61
110.0,65,2.82
110.0,66,3.04
110.0,67,3.26
110.0,68,3.52
110.0,69,3.78
110.0,70,4.04
115.0,62,2.21
115.0,63,2.44
115.0,64,2.66
115.0,65,2.88
115.0,66,3.1
115.0,67,3.32
115.0,68,3.59
115.0,69,3.85
115.0,70,4.12
120.0,62,2.26
120.0,63,2.48
120.0,64,2.71
120.0,65,2.93
120.0,66,3.16
120.0,67,3.38
120.0,68,3.66
120.0,69,3.93
120.0,70,4.2
125.0,62,2.3
125.0,63,2.53
125.0,64,2.76
125.0,65,2.99
125.0,66,3.22
125.0,67,3.45
125.0,68,3.72
125.0,69,4.0
125.0,70,4.27
130.0,62,2.34
130.0,63,2.57
130.0,64,2.81
130.0,65,3.04
130.0,66,3.28
130.0,67,3.51
130.0,68,3.79
130.0,69,4.07
130.0,70,4.35
135.0,62,2.38
135.0,63,2.62
135.0,64,2.86
135.0,65,3.1
135.0,66,3.33
135.0,67,3.57
135.0,68,3.86
135.0,69,4.14
135.0,70,4.43
140.0,62,2.42
140.0,63,2.66
140.0,64,2.91
140.0,65,3.15
140.0,66,3.39
140.0,67,3.63
140.0,68,3.93
140.0,69,4.22
140.0,70,4.51
145.0,62,2.46
145.0,63,2.71
145.0,64,2.96
145.0,65,3.2
145.0,66,3.45
145.0,67,3.7
145.0,68,3.99
145.0,69,4.29
145.0,70,4.58
150.0,62,2.51
150.0,63,2.76
150.0,64,3.01
150.0,65,3.26
150.0,66,3.51
150.0,67,3.76
150.0,68,4.06
150.0,69,4.36
150.0,70,4.66
155.0,62,2.55
155.0,63,2.8
155.0,64,3.06
155.0,65,3.31
155.0,66,3.57
155.0,67,3.82
155.0,68,4.13
155.0,69,4.43
155.0,70,4.74
160.0,62,2.59
160.0,63,2.85
160.0,64,3.11
160.0,65,3.37
160.0,66,3.63
160.0,67,3.88
160.0,68,4.2
160.0,69,4.51
160.0,70,4.82
