Year,Average,Max
1972,1948.2,4860
1973,1997.04,6300
1974,2258.52,6324
1975,2486.16,7044
1976,2698.32,7548
1977,2916,8460
1978,3158.4,10212
1979,3531.6,10654.8
1980,4096.8,11559.6
1981,4631.64,12142.8
1982,5031.6,12944.4
1983,5289.24,13424.4
1984,5526.84,14391.6
1985,5743.44,14964
1986,5861.28,15370.8
1987,6151.8,15454.8
1988,6441.24,15610.8
1989,6802.2,16008
1990,7230.72,16668
1991,7551.84,16884
1992,7831.68,17074.8
1993,8088.72,17772
1994,8368.08,18084
1995,8637.6,18432
1996,8939.52,18672
1997,9298.08,18732
1998,9356.28,18960
1999,9651.6,18420
2000,10133.76,18432
2001,10493.28,18504
2002,10740,19020
2003,11064.96,19884
2004,11458.68,19968
2005,12024,20220
2006,12532.8,21228
2007,12943.2,22068
2008,13834.8,22860
2009,13971.6,26220
2010,14106,28152
2011,14742.84,28392
2012,15139.32,30156
2013,15525.96,30396
2014,15942.96,31704
2015,16101.24,31956
2016,16321.56,32244
2017,16849.8,32244
2018,17535.72,33456
2019,18034.2,34332
2020,18529.8,36132
2021,19896.36,37776
2022,21901.68,40140
2023,22884,43524
